Time,Amplitude
0,38.55736
1,38.55755
2,38.55715
3,38.55738
4,38.55712
5,38.55739
6,38.55766
7,38.55731
8,38.55729
9,38.55717
10,38.55804
11,38.55737
12,38.55761
13,38.55734
14,38.55769
15,38.55742
16,38.55739
17,38.55742
18,38.55721
19,38.55745
20,38.55747
21,38.5575
22,38.55746
23,38.5576
24,38.55786
25,38.55744
26,38.55751
27,38.5576
28,38.55772
29,38.55717
30,38.55755
31,38.5573
32,38.55727
33,38.55794
34,38.55772
35,38.55757
36,38.55777
37,38.55771
38,38.55791
39,38.55804
40,38.5582
41,38.55776
42,38.55861
43,38.55901
44,38.55883
45,38.56003
46,38.56034
47,38.56072
48,38.5613
49,38.56231
50,38.56288
51,38.56386
52,38.56473
53,38.56504
54,38.5669
55,38.56744
56,38.56781
57,38.56942
58,38.56972
59,38.57068
60,38.57118
61,38.57199
62,38.57298
63,38.57322
64,38.57426
65,38.57475
66,38.57529
67,38.5762
68,38.5764
69,38.57717
70,38.57698
71,38.57781
72,38.57793
73,38.57804
74,38.57893
75,38.57882
76,38.57907
77,38.57903
78,38.57938
79,38.57965
80,38.57965
81,38.58011
82,38.57994
83,38.57997
84,38.58009
85,38.58038
86,38.58036
87,38.58045
88,38.58065
89,38.58045
90,38.58006
91,38.58042
92,38.5804
93,38.58059
94,38.57979
95,38.58038
96,38.58011
97,38.58049
98,38.57995
99,38.57983
100,38.58012
101,38.57977
102,38.57993
103,38.57974
104,38.58
105,38.57951
106,38.57965
107,38.57981
108,38.57909
109,38.57941
110,38.57905
111,38.57954
112,38.57891
113,38.57888
114,38.57925
115,38.57856
116,38.57846
117,38.57846
118,38.57865
119,38.57827
120,38.57845
121,38.57808
122,38.57853
123,38.57786
124,38.57792
125,38.57814
126,38.57795
127,38.57797
128,38.57762
129,38.57755
130,38.57791
131,38.57743
132,38.57716
133,38.57733
134,38.57745
135,38.57738
136,38.57711
137,38.57726
138,38.57695
139,38.57687
140,38.5764
141,38.57692
142,38.57646
143,38.57659
144,38.57646
145,38.57666
146,38.5765
147,38.57609
148,38.57621
149,38.57584
150,38.57619
151,38.57611
152,38.57601
153,38.57591
154,38.57629
155,38.57587
156,38.57587
157,38.57601
158,38.57569
159,38.57587
160,38.57575
161,38.57555
162,38.57559
163,38.57564
164,38.57547
165,38.57554
166,38.57552
167,38.5751
168,38.57519
169,38.57469
170,38.57515
171,38.57514
172,38.57526
173,38.57516
174,38.57493
175,38.57471
176,38.5748
177,38.57471
178,38.57493
179,38.57434
180,38.57486
181,38.57396
182,38.5744
183,38.57439
184,38.57471
185,38.57419
186,38.57427
187,38.57469
188,38.57457
189,38.57441
190,38.57441
191,38.57388
192,38.5741
193,38.57399
194,38.57417
195,38.57407
196,38.57386
197,38.57401
198,38.57405
199,38.57362
200,38.57376
201,38.57401
202,38.57374
203,38.57395
204,38.57394
205,38.57358
206,38.57367
207,38.57374
208,38.57355
209,38.57336
210,38.57356
211,38.57354
212,38.57381
213,38.57327
214,38.57333
215,38.5735
216,38.57351
217,38.57328
218,38.57338
219,38.57369
220,38.57343
221,38.5736
222,38.57336
223,38.57309
224,38.57327
225,38.57323
226,38.57284
227,38.57295
228,38.57301
229,38.57321
230,38.57281
231,38.57341
232,38.57319
233,38.57314
234,38.57312
235,38.5729
236,38.57289
237,38.57333
238,38.57314
239,38.57285
240,38.57306
241,38.57259
